Datetime,district_cooling-cooling,district_heating,district_heating-water_systems,electricity-cooling,electricity-exterior_lighting,electricity-fans,electricity-heat_recovery,electricity-heat_rejection,electricity-heating,electricity-interior_equipment,electricity-interior_lighting,electricity-pumps,electricity-refrigeration,electricity-water_systems,natural_gas-heating,natural_gas-interior_equipment,natural_gas-water_systems,district_cooling-total_energy_consumption,district_heating-total_energy_consumption,electricity-total_energy_consumption,natural_gas-total_energy_consumption,other_fuel-heating,other_fuel-water_systems,other_fuel-total,site_energy-total,TMP_F
2018-01-01 06:00:00+00:00,708.9063567,14778.23937,377.1499872,9796.095908,93365.60959,134359.8836,3145.403915,16.68688308,369470.144,245186.7267,73126.39692,5806.652814,4195.486846,14999.19269,785060.1056,29794.64663,15019.68651,708.9063567,15155.38936,953468.2798,829874.4387,137123.3219,1685.804477,138809.1264,1938016.155,7.0
2018-01-01 07:00:00+00:00,682.1923681,14079.96425,270.8453656,9265.782552,93365.60959,131793.9017,2883.4863,16.70057053,358283.8108,243601.2331,69783.92875,5763.640103,4179.738386,12173.33376,775119.3984,29848.19905,12710.65647,682.1923681,14350.80961,931111.1656,817678.2539,131832.3635,1455.485645,133287.8491,1897110.284,5.0
2018-01-01 08:00:00+00:00,589.6134169,11972.58926,286.5760585,8436.337044,93365.60959,132389.3245,2655.886433,16.87966904,381436.8771,239596.9527,69469.11746,5387.108201,4177.29115,12976.11326,790087.683,30057.75122,12346.69388,589.6134169,12259.16531,949907.4971,832492.1281,139223.2832,1410.146361,140633.4296,1935881.847,5.0
2018-01-01 09:00:00+00:00,655.7021986,15426.37205,281.5386769,9390.990123,93365.60959,143587.9107,3025.842294,18.12252379,421104.3904,235280.1427,73293.87246,6036.092782,4173.92901,15691.96592,874829.0785,30651.29097,16352.68974,655.7021986,15707.91073,1004968.869,921833.0592,157138.6857,1709.650718,158848.3364,2102013.892,6.1
2018-01-01 10:00:00+00:00,648.7159031,16647.27131,347.5766844,9464.964827,93365.60959,153464.5272,3194.029305,18.51658261,455357.0321,236830.3212,84207.90889,6132.126842,4170.467449,23633.69027,970493.056,44856.39116,24758.9849,648.7159031,16994.848,1069839.194,1040108.432,178399.1344,2656.245415,181055.3798,2308646.586,6.1
2018-01-01 11:00:00+00:00,568.5202034,18184.82058,355.111053,9064.159712,93365.60959,186229.8058,3633.87972,19.36809855,546977.4409,246837.136,108845.7087,5932.661286,4180.924793,31603.45829,1170026.888,85253.20918,34234.94802,568.5202034,18539.93163,1236690.153,1289515.046,210917.0091,3526.002451,214443.0115,2759756.68,6.1
2018-01-01 12:00:00+00:00,668.2913044,26129.21821,381.0828442,10852.19502,94455.6775,222881.0805,4602.884681,22.15350182,682178.3502,283903.4216,153104.7779,6979.142645,6346.287621,43489.0885,1494602.866,137854.2332,48179.15374,668.2913044,26510.30106,1508815.06,1680636.253,265111.7979,5203.739658,270315.5376,3486945.465,5.0
2018-01-01 13:00:00+00:00,736.8740073,25427.27561,1040.439156,11758.91989,0.0,237532.0161,4887.315327,25.4054854,687119.2396,313282.6469,217299.4729,7004.269372,6317.089319,69776.70827,1533037.293,193992.8075,71545.03608,736.8740073,26467.71476,1555003.083,1798575.136,270660.2344,7621.66171,278281.8961,3659064.727,5.0
2018-01-01 14:00:00+00:00,826.4307041,25200.99798,1552.130035,12975.83983,0.0,248194.9581,5181.025539,29.60128498,643233.192,344293.3599,277406.7055,6758.034964,6324.243837,95691.0988,1471179.435,206674.5712,87213.94186,826.4307041,26753.12801,1640088.06,1765067.948,256470.827,10010.62167,266481.4486,3699217.039,8.1
2018-01-01 15:00:00+00:00,848.4976429,23122.91873,1999.447362,15371.55686,0.0,257475.2387,5382.930496,35.68465202,588413.6253,373140.0386,305332.1208,6975.310142,6337.733675,108836.4946,1372196.991,239743.3716,98383.13191,848.4976429,25122.36609,1667300.734,1710323.494,248407.5225,11439.66628,259847.1888,3663442.305,10.9
